"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"
"Total de cliques","27144"

"Métrica","Click"

"Classificar","Botão","Cliques"," % de cliques"
"290","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(3)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(1)>DIV.dd-icon:nth-of-type(1)","3","0,01%"
"291","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-brand:nth-of-type(1)","3","0,01%"
"292","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(11)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)>I.fas.fa-arrow-right:nth-of-type(1)","3","0,01%"
"293","#heroRotate>SPAN.hero-rotate__word:nth-of-type(5)","3","0,01%"
"294","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-orbit-benefits:nth-of-type(8)>DIV.cost-orbit-benefit:nth-of-type(3)","3","0,01%"
"295","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--left.wa-row--hidden:nth-of-type(3)>DIV.wa-bubble.wa-bubble--dark:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"296","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card.mkt-card--highlight:nth-of-type(1)>DIV.mkt-card__header:nth-of-type(1)","3","0,01%"
"297","#custo>DIV.container:nth-of-type(1)>DIV.cost-header:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"298","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(1)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"299","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card:nth-of-type(2)>P.mkt-card__headline:nth-of-type(1)","3","0,01%"
"300","#orbitHub>DIV.orbit-hub__node:nth-of-type(3)","3","0,01%"
"301","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.faq-section.section--light:nth-of-type(15)>DIV.container:nth-of-type(1)>DIV.faq-list:nth-of-type(2)>DETAILS.faq-item:nth-of-type(2)>DIV.faq-item__answer:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"302","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(2)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-form:nth-of-type(2)>DIV.hiw-form-mockup:nth-of-type(1)>DIV.hiw-form-mockup__body:nth-of-type(2)>DIV.hiw-form-field:nth-of-type(2)>DIV.hiw-form-field__input:nth-of-type(1)>SPAN.hiw-typing:nth-of-type(1)","3","0,01%"
"303","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.stats-banner:nth-of-type(11)>DIV.container:nth-of-type(1)>DIV.stats-banner__grid.revealed:nth-of-type(1)","3","0,01%"
"304","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(11)>A:nth-of-type(1)>IMG:nth-of-type(1)","3","0,01%"
"305","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(2)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(2)>DIV.dd-text:nth-of-type(2)","3","0,01%"
"306","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(5)>DIV.hiw-cinema__card.hiw-cinema__card--final:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)>H3:nth-of-type(1)","3","0,01%"
"307","#contato-form>DIV.container:nth-of-type(1)>DIV.cta-form-grid:nth-of-type(1)>DIV.cta-form-card:nth-of-type(2)","3","0,01%"
"308","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"309","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card:nth-of-type(2)","3","0,01%"
"310","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(4)>P.testi-quote:nth-of-type(1)","3","0,01%"
"311","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(2)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)>H3:nth-of-type(1)","3","0,01%"
"312","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(5)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__bar:nth-of-type(1)","3","0,01%"
"313","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>BUTTON.menu-toggle:nth-of-type(2)>SPAN:nth-of-type(3)","3","0,01%"
"314","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","3","0,01%"
"315","#orbitHub>DIV.orbit-hub__node:nth-of-type(3)>DIV.orbit-hub__node-icon:nth-of-type(1)>I.fas.fa-diagram-project:nth-of-type(1)","3","0,01%"
"316","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-agents:nth-of-type(2)>DIV.hiw-agents-output:nth-of-type(2)>DIV.hiw-output-line:nth-of-type(4)","3","0,01%"
"317","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)","3","0,01%"
"318","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(12)","3","0,01%"
"319","#waPhones>DIV.wa-device:nth-of-type(1)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--left.wa-row--hidden:nth-of-type(5)>DIV.wa-bubble.wa-bubble--dark:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"320","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-verdict.reframe-verdict--win:nth-of-type(3)>DIV:nth-of-type(2)>P:nth-of-type(1)","3","0,01%"
"321","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>A.btn.btn-primary:nth-of-type(1)","3","0,01%"
"322","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(5)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","3","0,01%"
"323","#orbitHub>DIV.orbit-hub__node:nth-of-type(10)>DIV.orbit-hub__node-icon:nth-of-type(1)","3","0,01%"
"324","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card:nth-of-type(3)>P.mkt-card__headline:nth-of-type(1)","3","0,01%"
"325","#agentes>DIV.revealed:nth-of-type(3)","3","0,01%"
"326","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(4)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>H3:nth-of-type(1)","3","0,01%"
"327","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.stats-banner:nth-of-type(11)>DIV.container:nth-of-type(1)>DIV.stats-banner__grid:nth-of-type(1)>DIV.stats-banner__item:nth-of-type(2)>SPAN.stats-banner__number:nth-of-type(1)","3","0,01%"
"328","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>DIV.mobile-menu:nth-of-type(2)>DIV.mobile-menu__header:nth-of-type(1)>BUTTON.mobile-menu-close:nth-of-type(1)","3","0,01%"
"329","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(8)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__body:nth-of-type(2)>DIV.pp-mock__big-number:nth-of-type(6)","3","0,01%"
"330","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(4)>UL:nth-of-type(2)>LI:nth-of-type(1)>A:nth-of-type(1)","3","0,01%"
"331","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-verdict.reframe-verdict--win:nth-of-type(3)","3","0,01%"
"332","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","3","0,01%"
"333","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(5)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","3","0,01%"
"334","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-validate:nth-of-type(2)>DIV.hiw-validate-screen:nth-of-type(1)>DIV.hiw-validate-list:nth-of-type(2)>DIV.hiw-validate-item:nth-of-type(2)>SPAN.hiw-validate-item__badge.hiw-validate-item__badge--ok:nth-of-type(2)","3","0,01%"
"335","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-brand:nth-of-type(1)>DIV.social-hover:nth-of-type(2)>A.social-hover__item:nth-of-type(1)","3","0,01%"
"336","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(5)>DIV.reframe-orbit-card__text:nth-of-type(1)","2","0,01%"
"337","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(1)","2","0,01%"
"338","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--lg:nth-of-type(3)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(3)","2","0,01%"
"339","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__ctas:nth-of-type(1)","2","0,01%"
"340","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(7)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"341","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--lg:nth-of-type(3)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(3)>DIV.testi-author:nth-of-type(1)","2","0,01%"
"342","#orbitHub>DIV.orbit-hub__node:nth-of-type(3)>DIV.orbit-hub__node-desc:nth-of-type(3)","2","0,01%"
"343","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(3)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(2)>DIV.dd-icon:nth-of-type(1)","2","0,01%"
"344","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"345","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(5)>SPAN.cost-item__label:nth-of-type(1)","2","0,01%"
"346","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__hub:nth-of-type(2)>DIV.roda__hub-outer:nth-of-type(1)>DIV.roda__hub-inner:nth-of-type(1)","2","0,01%"
"347","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-brand:nth-of-type(1)>DIV.social-hover:nth-of-type(2)>A.social-hover__item:nth-of-type(3)","2","0,01%"
"348","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(2)>A:nth-of-type(1)>IMG:nth-of-type(1)","2","0,01%"
"349","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--lg:nth-of-type(3)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(2)","2","0,01%"
"350","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-agents:nth-of-type(2)>DIV.hiw-agents-output:nth-of-type(2)>DIV.hiw-output-line:nth-of-type(3)","2","0,01%"
"351","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>H1.hero-zoom__title:nth-of-type(1)>SPAN:nth-of-type(4)","2","0,01%"
"352","#orbitHub>DIV.orbit-hub__node:nth-of-type(6)>DIV.orbit-node-card:nth-of-type(4)","2","0,01%"
"353","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)>DIV:nth-of-type(2)>DIV:nth-of-type(3)","2","0,01%"
"354","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-total:nth-of-type(14)","2","0,01%"
"355","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(4)>SPAN.cost-item__label:nth-of-type(1)","2","0,01%"
"356","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(2)>UL.footer-contact:nth-of-type(1)>LI:nth-of-type(2)>I.fas.fa-map-marker-alt:nth-of-type(1)","2","0,01%"
"357","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(9)>SPAN.cost-item__label:nth-of-type(1)","2","0,01%"
"358","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(7)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)","2","0,01%"
"359","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-total:nth-of-type(7)","2","0,01%"
"360","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)","2","0,01%"
"361","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(1)>DIV.pq-card__content:nth-of-type(1)>H3:nth-of-type(1)","2","0,01%"
"362","#orbitHub>DIV.orbit-hub__node:nth-of-type(3)>DIV.orbit-node-card:nth-of-type(4)>DIV.orbit-node-card__tags:nth-of-type(5)>SPAN.orbit-node-card__tag:nth-of-type(1)","2","0,01%"
"363","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>svg.roda__ring:nth-of-type(1)","2","0,01%"
"364","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(4)>UL:nth-of-type(1)>LI:nth-of-type(3)>A:nth-of-type(1)","2","0,01%"
"365","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(1)>IMG:nth-of-type(1)","2","0,01%"
"366","#dores>DIV.container:nth-of-type(2)>DIV.section-header.revealed:nth-of-type(1)","2","0,01%"
"367","#lead-form","2","0,01%"
"368","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(7)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","2","0,01%"
"369","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(4)>UL:nth-of-type(1)>LI:nth-of-type(1)>A:nth-of-type(1)","2","0,01%"
"370","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card:nth-of-type(3)","2","0,01%"
"371","#orbitHub>DIV.orbit-hub__node:nth-of-type(2)>DIV.orbit-hub__node-icon:nth-of-type(1)","2","0,01%"
"372","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(3)>UL:nth-of-type(1)>LI:nth-of-type(5)>A:nth-of-type(1)","2","0,01%"
"373","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(2)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-form:nth-of-type(2)>DIV.hiw-form-mockup:nth-of-type(1)>DIV.hiw-form-mockup__body:nth-of-type(2)>DIV.hiw-form-field:nth-of-type(2)>DIV.hiw-form-field__input:nth-of-type(1)","2","0,01%"
"374","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-input:nth-of-type(4)","2","0,01%"
"375","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(11)>A:nth-of-type(1)>DIV:nth-of-type(1)","2","0,01%"
"376","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-header:nth-of-type(1)>DIV.mkt-badge:nth-of-type(1)>SPAN:nth-of-type(1)","2","0,01%"
"377","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-item:nth-of-type(6)>SPAN.cost-item__label:nth-of-type(1)","2","0,01%"
"378","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(9)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__body:nth-of-type(2)","2","0,01%"
"379","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(3)>DIV.pq-card__content:nth-of-type(1)","2","0,01%"
"380","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(3)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>H3:nth-of-type(1)","2","0,01%"
"381","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(6)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(2)","2","0,01%"
"382","#knowledgeGrid>DIV.knowledge-card:nth-of-type(2)>DIV.knowledge-card__body:nth-of-type(2)>H4:nth-of-type(1)","2","0,01%"
"383","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>DIV.platform-panel__badge:nth-of-type(1)","2","0,01%"
"384","#orbitHub>DIV.orbit-hub__node:nth-of-type(11)>DIV.orbit-node-card:nth-of-type(4)>DIV.orbit-node-card__tags:nth-of-type(5)>SPAN.orbit-node-card__tag:nth-of-type(2)","2","0,01%"
"385","#orbitHub>DIV.orbit-hub__node:nth-of-type(9)>DIV.orbit-hub__node-icon:nth-of-type(1)","2","0,01%"
"386","#orbitHub>DIV.orbit-hub__center:nth-of-type(1)","2","0,01%"
"387","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)","2","0,01%"
"388","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(5)>P.testi-quote:nth-of-type(1)","2","0,01%"
"389","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(3)>UL:nth-of-type(1)>LI:nth-of-type(4)>A:nth-of-type(1)","2","0,01%"
"390","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--md:nth-of-type(2)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(3)","2","0,01%"
"391","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--lg:nth-of-type(3)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(2)>DIV.testi-author:nth-of-type(1)>DIV.testi-info:nth-of-type(2)>DIV.testi-role:nth-of-type(2)","2","0,01%"
"392","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(4)>SPAN.cost-item__value:nth-of-type(2)","2","0,01%"
"393","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(12)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(1)","2","0,01%"
"394","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(10)","2","0,01%"
"395","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(3)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>DIV.platform-panel__badge:nth-of-type(1)","2","0,01%"
"396","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-brand:nth-of-type(1)>DIV.footer-logo:nth-of-type(1)","2","0,01%"
"397","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__spinner:nth-of-type(1)>DIV.roda__arm:nth-of-type(3)>DIV.roda__card:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"398","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(9)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>A.btn.btn-primary:nth-of-type(1)","2","0,01%"
"399","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-phase.reframe-phase--win:nth-of-type(3)>DIV.reframe-phase__steps.reframe-orbit-steps:nth-of-type(2)>DIV.reframe-orbit-card:nth-of-type(5)>DIV.reframe-orbit-card__text:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"400","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)","2","0,01%"
"401","#plataforma>DIV.container:nth-of-type(1)>DIV.one-platform__header:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"402","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-item:nth-of-type(5)","2","0,01%"
